Date,Time,Home,HG,HxGt,HxGp,Away,AG,AxGt,AxGp,GD,xGDt,xGDp,Final,HxPts,AxPts
2023-05-10,,ATX,2,,,NM (USL),0,,,,,,,,
2023-05-23,,NYRB,1,,,CIN,1,,,,,,,,
2023-05-23,,MIA,2,,,NSH,1,,,,,,,,
2023-05-24,,PIT (USL),1,,,CLB,0,,,,,,,,
2023-05-23,,HOU,4,,,MIN,0,,,,,,,,
2023-05-23,,LAFC,0,,,LAG,2,,,,,,,,
2023-05-24,,BHM (USL),1,,,CLT,0,,,,,,,,
2023-05-24,,COL,0,,,RSL,1,,,,,,,,
2023-05-24,,ATX,0,,,CHI,2,,,,,,,,
2023-06-06,,CIN,3,,,PIT (USL),1,,,,,,,,
2023-06-06,,CHI,1,,,HOU,4,,,,,,,,
2023-06-07,,BHM (USL),0,,,MIA,1,,,,,,,,
2023-06-07,,RSL,3,,,LAG,2,,,,,,,,
2023-08-23,,CIN,3,,,MIA,3,,,,,,,,
2023-08-23,,HOU,3,,,RSL,1,,,,,,,,
2023-09-27,,MIA,1,,,HOU,2,,,,,,,,
2024-03-19,,MAD (USL1),2,,,Duluth FC,0,,,,,,,,
2024-03-19,,Chattanooga FC,0,,,Miami United FC,1,,,,,,,,
2024-03-19,,Vermont Green FC,4,,,LEX (USL1),3,,,,,,,,
2024-03-19,,The Villages SC,0,,,Savannah Clovers FC,2,,,,,,,,
2024-03-19,,West Chester United SC,0,,,Maryland Bobcats FC,2,,,,,,,,
2024-03-19,,TRM (USL1),1,,,FC America CFL Spurs,0,,,,,,,,
2024-03-20,,RIC (USL1),1,,,Christos FC,0,,,,,,,,
2024-03-19,,Tulsa Athletic,1,,,NCO (USL1),4,,,,,,,,
2024-03-20,,SC United Bantams,0,,,GVL (USL1),1,,,,,,,,
2024-03-20,,AS Frenzi,2,,,Club de Lyon FC,3,,,,,,,,
2024-03-20,,Asheville City SC,0,,,KNX (USL1),2,,,,,,,,
2024-03-19,,Timbers 2,1,,,El Farolito,2,,,,,,,,
2024-03-20,,NY Red Bulls II,5,,,Hudson Valley Hammers,1,,,,,,,,
2024-03-20,,Apotheos FC,1,,,Georgia Lions FC,0,,,,,,,,
2024-03-19,,Austin II,2,,,Foro SC,2,,,,,,,,
2024-03-21,,Steel City FC,0,,,Michigan Stars FC,1,,,,,,,,
2024-03-20,,Chicago Fire II,6,,,Chicago City SC,0,,,,,,,,
2024-03-20,,FC Folsom,1,,,CVF (USL1),2,,,,,,,,
2024-03-20,,Chicago House AC,0,,,Minn Utd 2,3,,,,,,,,
2024-03-21,,Western Mass Pioneers,0,,,OMA (USL1),4,,,,,,,,
2024-03-21,,Crown Legacy FC,0,,,South Carolina United Heat,1,,,,,,,,
2024-03-20,,Capo FC,2,,,Des Moines Menace,2,,,,,,,,
2024-03-20,,Irvine Zeta,1,,,MesoAmerica FC,0,,,,,,,,
2024-03-20,,Ballard FC,0,,,SPO (USL1),1,,,,,,,,
2024-03-21,,Carolina Core FC,3,,,Northern Virginia Royals,2,,,,,,,,
2024-03-21,,Vereinigung Erzgebirge,0,,,CLTI (USL1),2,,,,,,,,
2024-03-21,,FC Motown,0,,,New York City FC II,3,,,,,,,,
2024-03-20,,Los Angeles Force,2,,,Redlands FC,1,,,,,,,,
