"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2025-09-01","21:00 EDT","LA","2","1.82","1.82","BAY","1","1.17","1.42","1","0.64","0.40","1","1.81","0.95"
"2025-08-31","16:00 EDT","WAS","1","1.90","1.95","CHI","1","1.26","1.26","0","0.64","0.69","0","1.79","0.95"
"2025-08-30","19:30 EDT","KC","2","1.22","1.22","NC","0","0.69","0.69","2","0.53","0.53","2","1.93","0.78"
"2025-08-29","22:30 EDT","SEA","0","1.11","1.11","SD","0","1.03","1.04","0","0.09","0.08","0","1.44","1.24"
"2025-08-29","22:30 EDT","POR","1","1.86","1.87","UTA","2","1.81","2.02","-1","0.05","-0.16","-1","1.39","1.37"
"2025-08-29","20:00 EDT","ORL","0","1.14","1.14","NJY","2","1.35","1.35","-2","-0.21","-0.21","-2","1.17","1.53"
"2025-08-29","19:30 EDT","LOU","1","1.68","1.70","HOU","1","1.13","1.14","0","0.54","0.56","0","1.79","0.98"
"2025-08-24","20:00 EDT","SD","0","1.80","1.81","LOU","1","1.07","1.07","-1","0.73","0.74","-1","1.94","0.83"
"2025-08-24","19:20 EDT","HOU","1","1.36","1.37","SEA","1","0.59","0.59","0","0.77","0.77","0","1.97","0.75"
"2025-08-23","22:00 EDT","POR","0","1.19","1.21","KC","2","2.17","2.19","-2","-0.98","-0.98","-2","0.73","2.07"
"2025-08-23","19:30 EDT","NJY","0","1.55","1.55","UTA","0","0.64","0.69","0","0.91","0.86","0","2.07","0.67"
"2025-08-23","16:00 EDT","BAY","2","1.26","1.26","WAS","2","0.99","0.99","0","0.27","0.27","-1","1.58","1.12"
"2025-08-22","20:00 EDT","CHI","3","0.81","0.81","NC","3","1.46","1.47","0","-0.66","-0.66","0","0.80","1.93"
"2025-08-21","22:30 EDT","LA","1","1.41","1.42","ORL","0","0.68","0.68","1","0.73","0.74","1","1.92","0.80"
"2025-08-18","22:00 EDT","SEA","3","2.15","2.41","CHI","3","2.33","2.78","0","-0.18","-0.37","0","1.21","1.57"
"2025-08-17","16:00 EDT","NJY","1","1.21","1.21","HOU","1","0.19","0.19","0","1.01","1.02","-1","2.28","0.43"
"2025-08-16","22:00 EDT","BAY","1","1.72","1.90","SD","2","1.27","1.27","-1","0.46","0.63","-1","1.70","1.03"
"2025-08-16","19:30 EDT","NC","1","2.05","2.09","POR","1","1.18","1.18","0","0.87","0.91","0","1.95","0.84"
"2025-08-16","19:28 EDT","KC","0","1.27","1.28","ORL","0","0.22","0.22","0","1.05","1.06","0","2.40","0.38"
"2025-08-15","22:00 EDT","UTA","0","0.94","0.94","LA","0","0.71","0.73","0","0.23","0.22","0","1.58","1.05"
"2025-08-15","20:00 EDT","WAS","2","0.98","0.98","LOU","1","1.33","1.44","1","-0.34","-0.45","0","1.01","1.70"
"2025-08-10","16:00 EDT","POR","4","4.13","4.18","SEA","2","0.91","0.91","2","3.22","3.27","2","2.88","0.08"
"2025-08-10","14:00 EDT","CHI","1","1.04","1.04","BAY","1","1.36","1.36","0","-0.32","-0.32","0","1.07","1.65"
"2025-08-09","22:00 EDT","SD","1","1.50","1.50","LA","1","1.44","1.44","0","0.06","0.06","0","1.39","1.36"
"2025-08-09","19:30 EDT","ORL","0","3.83","3.83","LOU","1","0.76","0.76","-1","3.06","3.07","0","2.88","0.07"
"2025-08-09","12:00 EDT","NJY","0","0.49","0.49","WAS","0","0.88","0.88","0","-0.39","-0.39","0","0.97","1.66"
"2025-08-08","22:00 EDT","UTA","0","0.79","0.80","KC","1","0.85","0.86","-1","-0.06","-0.06","-1","1.25","1.42"
"2025-08-08","20:47 EDT","HOU","2","1.10","1.10","NC","1","1.53","1.53","1","-0.43","-0.43","1","1.01","1.70"
