Date,Time,Home,HG,HxGt,HxGp,Away,AG,AxGt,AxGp,GD,xGDt,xGDp,Final,HxPts,AxPts
7/25/2026,20:30 EDT,MIN,0,1.28,1.29,VAN,0,0.52,0.52,0,0.76,0.76,0,1.96,0.75
7/25/2026,20:30 EDT,STL,1,1.01,1.02,COL,0,0.13,0.13,1,0.88,0.89,1,2.17,0.48
7/25/2026,19:30 EDT,NYC,3,1.65,1.65,CHI,1,1.78,1.78,2,-0.13,-0.13,2,1.3,1.42
7/25/2026,19:30 EDT,MTL,0,1.85,1.85,MIA,1,2.03,2.03,-1,-0.19,-0.19,-1,1.24,1.46
7/25/2026,19:30 EDT,PHI,1,1.42,1.42,SEA,0,0.65,0.65,1,0.77,0.77,1,2.04,0.69
7/25/2026,19:30 EDT,NER,4,2.29,2.29,ATL,1,1.31,1.31,3,0.98,0.98,3,2.1,0.69
7/25/2026,19:30 EDT,DCU,1,2.08,2.23,TOR,1,1.4,1.52,0,0.68,0.71,1,1.97,0.83
7/25/2026,19:15 EDT,CLB,2,2.12,2.12,CIN,1,0.92,0.92,1,1.2,1.2,1,2.3,0.52
7/25/2026,18:30 EDT,NYRB,0,2.68,2.72,CLT,2,0.73,0.73,-2,1.95,1.99,-2,2.63,0.26
7/22/2026,22:30 EDT,LAFC,2,1.48,1.48,RSL,1,2.17,2.22,1,-0.69,-0.74,2,0.95,1.82
7/22/2026,22:30 EDT,LAG,1,1.29,1.29,STL,3,2.11,2.16,-2,-0.83,-0.87,-2,0.78,2
7/22/2026,22:30 EDT,POR,2,2.63,2.66,FCD,2,1.55,1.55,0,1.08,1.1,0,2.06,0.74
7/22/2026,22:30 EDT,SJE,0,1.4,1.4,ORL,4,1.61,1.61,-4,-0.21,-0.21,-4,1.3,1.47
7/22/2026,21:30 EDT,ATX,3,1.68,1.68,SEA,1,1.54,1.65,2,0.13,0.02,2,1.51,1.25
7/22/2026,21:30 EDT,COL,1,0.59,0.59,SD,0,0.98,1.02,1,-0.39,-0.43,1,0.98,1.68
7/22/2026,20:30 EDT,NSH,1,1.97,2.13,MTL,0,1.06,1.15,1,0.91,0.98,1,2.15,0.62
7/22/2026,20:30 EDT,HOU,1,1.07,1.07,DCU,1,0.64,0.64,0,0.43,0.43,0,1.71,0.96
7/22/2026,20:30 EDT,SKC,2,1.24,1.24,MIN,1,1.65,1.65,1,-0.41,-0.41,1,1.09,1.67
7/22/2026,20:15 EDT,CLT,2,3.49,3.87,ATL,2,1.79,1.79,0,1.7,2.08,0,2.25,0.6
7/22/2026,19:30 EDT,NER,0,1.05,1.06,TOR,0,1.43,1.43,0,-0.38,-0.37,0,0.99,1.69
7/22/2026,19:30 EDT,PHI,3,2.99,3.03,NYRB,1,0.75,0.75,2,2.24,2.29,2,2.63,0.26
7/22/2026,19:30 EDT,CLB,1,1.73,1.73,NYC,2,1.54,1.57,-1,0.19,0.16,-1,1.54,1.15
7/22/2026,19:30 EDT,MIA,3,2.32,2.38,CHI,1,2.06,2.08,2,0.25,0.3,1,1.59,1.19
7/22/2026,19:30 EDT,CIN,4,1.93,1.98,VAN,3,1.88,1.91,1,0.05,0.07,1,1.47,1.29
7/17/2026,22:25 EDT,LAG,0,1.37,1.42,LAFC,3,2.21,2.24,-3,-0.84,-0.82,-3,0.79,1.98
7/17/2026,20:10 EDT,NSH,1,0.8,0.8,ATL,0,1.75,1.75,1,-0.95,-0.95,1,0.59,2.18
7/16/2026,22:30 EDT,SEA,1,0.63,0.63,POR,5,2.95,3.06,-4,-2.32,-2.42,-4,0.16,2.77
7/16/2026,20:30 EDT,STL,3,3,3.15,SKC,2,1.55,1.55,1,1.45,1.6,1,2.29,0.55
7/16/2026,19:30 EDT,MTL,0,0.96,0.96,TOR,0,0.54,0.54,0,0.43,0.43,0,1.7,0.94
5/24/2026,21:15 EDT,LAFC,1,1.9,1.92,SEA,0,1.16,1.16,1,0.75,0.76,1,1.92,0.84
5/24/2026,19:00 EDT,MIA,6,4.62,4.82,PHI,4,4.18,4.22,2,0.44,0.6,2,1.69,1.14
5/24/2026,17:00 EDT,CLB,2,1.52,1.55,ATL,0,1.39,1.47,2,0.13,0.08,2,1.46,1.26
5/23/2026,22:30 EDT,LAG,1,3.05,3.05,HOU,1,0.7,0.7,0,2.35,2.35,0,2.7,0.2
5/23/2026,21:30 EDT,POR,1,2.37,2.37,SJE,3,1.05,1.05,-2,1.31,1.32,-2,2.21,0.59
